id;points;time;date
1;6;12;01.02.23
2;0;1;01.02.23
3;5;5;01.02.23
4;0;3;01.02.23
5;4;5;01.02.23
6;0;1;01.02.23
7;0;1;01.02.23
8;0;1;01.02.23
9;4;12;01.02.23
10;5;4;01.02.23
11;0;1;01.02.23
12;3;4;01.02.23
13;1;1;01.02.23
14;0;1;01.02.23
15;2;6;01.02.23
16;2;3;01.02.23
17;4;5;01.02.23
18;0;1;01.02.23
19;0;1;01.02.23
20;0;1;01.02.23
21;0;1;01.02.23
22;3;2;01.02.23
23;1;1;01.02.23
24;0;1;01.02.23
25;3;17;02.02.23
26;8;45;02.02.23
27;1;2;02.02.23
28;4;2;02.02.23
29;1;1;02.02.23
30;3;3;02.02.23
31;0;1;02.02.23
32;0;1;02.02.23
33;1;1;02.02.23
34;0;1;02.02.23
35;3;8;02.02.23
